Emotion,Gender,Path
neutral,male,audio_speech_actors_01-24/Actor_01/03-01-01-01-01-01-01.wav
neutral,male,audio_speech_actors_01-24/Actor_01/03-01-01-01-01-02-01.wav
neutral,male,audio_speech_actors_01-24/Actor_01/03-01-01-01-02-01-01.wav
neutral,male,audio_speech_actors_01-24/Actor_01/03-01-01-01-02-02-01.wav
calm,male,audio_speech_actors_01-24/Actor_01/03-01-02-01-01-01-01.wav
calm,male,audio_speech_actors_01-24/Actor_01/03-01-02-01-01-02-01.wav
calm,male,audio_speech_actors_01-24/Actor_01/03-01-02-01-02-01-01.wav
calm,male,audio_speech_actors_01-24/Actor_01/03-01-02-01-02-02-01.wav
calm,male,audio_speech_actors_01-24/Actor_01/03-01-02-02-01-01-01.wav
calm,male,audio_speech_actors_01-24/Actor_01/03-01-02-02-01-02-01.wav
calm,male,audio_speech_actors_01-24/Actor_01/03-01-02-02-02-01-01.wav
calm,male,audio_speech_actors_01-24/Actor_01/03-01-02-02-02-02-01.wav
happy,male,audio_speech_actors_01-24/Actor_01/03-01-03-01-01-01-01.wav
happy,male,audio_speech_actors_01-24/Actor_01/03-01-03-01-01-02-01.wav
happy,male,audio_speech_actors_01-24/Actor_01/03-01-03-01-02-01-01.wav
happy,male,audio_speech_actors_01-24/Actor_01/03-01-03-01-02-02-01.wav
happy,male,audio_speech_actors_01-24/Actor_01/03-01-03-02-01-01-01.wav
happy,male,audio_speech_actors_01-24/Actor_01/03-01-03-02-01-02-01.wav
happy,male,audio_speech_actors_01-24/Actor_01/03-01-03-02-02-01-01.wav
happy,male,audio_speech_actors_01-24/Actor_01/03-01-03-02-02-02-01.wav
sad,male,audio_speech_actors_01-24/Actor_01/03-01-04-01-01-01-01.wav
sad,male,audio_speech_actors_01-24/Actor_01/03-01-04-01-01-02-01.wav
sad,male,audio_speech_actors_01-24/Actor_01/03-01-04-01-02-01-01.wav
sad,male,audio_speech_actors_01-24/Actor_01/03-01-04-01-02-02-01.wav
sad,male,audio_speech_actors_01-24/Actor_01/03-01-04-02-01-01-01.wav
sad,male,audio_speech_actors_01-24/Actor_01/03-01-04-02-01-02-01.wav
sad,male,audio_speech_actors_01-24/Actor_01/03-01-04-02-02-01-01.wav
sad,male,audio_speech_actors_01-24/Actor_01/03-01-04-02-02-02-01.wav
angry,male,audio_speech_actors_01-24/Actor_01/03-01-05-01-01-01-01.wav
angry,male,audio_speech_actors_01-24/Actor_01/03-01-05-01-01-02-01.wav
angry,male,audio_speech_actors_01-24/Actor_01/03-01-05-01-02-01-01.wav
angry,male,audio_speech_actors_01-24/Actor_01/03-01-05-01-02-02-01.wav
angry,male,audio_speech_actors_01-24/Actor_01/03-01-05-02-01-01-01.wav
angry,male,audio_speech_actors_01-24/Actor_01/03-01-05-02-01-02-01.wav
angry,male,audio_speech_actors_01-24/Actor_01/03-01-05-02-02-01-01.wav
angry,male,audio_speech_actors_01-24/Actor_01/03-01-05-02-02-02-01.wav
fearful,male,audio_speech_actors_01-24/Actor_01/03-01-06-01-01-01-01.wav
fearful,male,audio_speech_actors_01-24/Actor_01/03-01-06-01-01-02-01.wav
fearful,male,audio_speech_actors_01-24/Actor_01/03-01-06-01-02-01-01.wav
fearful,male,audio_speech_actors_01-24/Actor_01/03-01-06-01-02-02-01.wav
fearful,male,audio_speech_actors_01-24/Actor_01/03-01-06-02-01-01-01.wav
fearful,male,audio_speech_actors_01-24/Actor_01/03-01-06-02-01-02-01.wav
fearful,male,audio_speech_actors_01-24/Actor_01/03-01-06-02-02-01-01.wav
fearful,male,audio_speech_actors_01-24/Actor_01/03-01-06-02-02-02-01.wav
disgust,male,audio_speech_actors_01-24/Actor_01/03-01-07-01-01-01-01.wav
